Taxon,Deposit.1,Deposit.13,Deposit.7B,Deposit.14
Microtus californicus,119,89,263,64
Neotoma macrotis,5,7,24,31
Onychomys torridus,0,3,0,0
Peromyscus californicus,7,4,6,3
Peromyscus maniculatus,25,112,131,66
Reithrodontomys megalotis,0,3,1,6
Thomomys bottae,8,13,34,39
Dipodomys agilis,2,30,86,21
Sylvilagus audubonii,129,235,131,89
Sylvilagus bachmani,29,0,65,6
Mephitis mephitis,3,3,0,3
Spilogale gracilis,1,0,1,0
Mustela frenata,3,21,4,3
Neotamias merriami,1,5,2,0
Otospermophilus beecheyi,51,68,49,17
Sorex ornatus,2,0,5,1
Scapanus latimanus,0,0,0,1
